EID,GPU Duration (¦Ìs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
433,9.216,5952,1984,0,1984,1984,5050,3968,0,0,0,3776,0
434,9.216,4992,1664,0,1664,1664,3244,3328,0,0,0,2190,0
435,8.192,6240,2080,0,2080,2080,3078,4160,0,0,0,2165,0
436,7.168,312,104,0,104,104,640,208,0,0,0,399,0
437,14.336,19590,6530,0,6530,6530,79577,13060,0,0,0,38384,0
438,10.24,10662,3554,0,3554,3554,2940,7108,0,0,0,2458,0
439,6.144,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
440,6.144,3072,1024,0,1024,1024,0,2048,0,0,0,0,0
441,8.192,3522,1174,0,1174,1174,1155,2348,0,0,0,752,0
442,7.168,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
443,8.192,4224,1408,0,1408,1408,4107,2816,0,0,0,2013,0
444,9.216,1098,366,0,366,366,2531,732,0,0,0,1220,0
445,8.192,804,268,0,268,268,577,536,0,0,0,455,0
446,11.264,10230,3410,0,3410,3410,4741,6820,0,0,0,3238,0
447,7.168,3072,1024,0,1024,1024,0,2048,0,0,0,0,0
448,6.144,1536,512,0,512,512,0,1024,0,0,0,0,0
449,9.216,8460,2820,0,2820,2820,238,5640,0,0,0,188,0
450,8.192,2166,722,0,722,722,122,1444,0,0,0,100,0
451,10.24,9912,3304,0,3304,3304,5789,6608,0,0,0,4038,0
452,10.24,7248,2416,0,2416,2416,8086,4832,0,0,0,5588,0
453,12.288,9876,3292,0,3292,3292,54567,6584,0,0,0,24798,0
454,8.192,552,184,0,184,184,156,368,0,0,0,82,0
455,11.264,9450,3150,0,3150,3150,21762,6300,0,0,0,11297,0
456,8.192,7344,2448,0,2448,233,2113,4896,0,0,0,1082,0
457,6.144,84,28,0,28,28,0,56,0,0,0,0,0
458,7.168,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
459,7.168,6144,2048,0,2048,1532,0,4096,0,0,0,0,0
460,9.216,3882,1294,0,1294,1294,82,2588,0,0,0,56,0
461,7.168,3480,1160,0,1160,1160,0,2320,0,0,0,0,0
462,6.144,1536,512,0,512,512,0,1024,0,0,0,0,0
463,8.192,12288,4096,0,4096,4096,0,8192,0,0,0,0,0
464,9.216,9192,3064,0,3064,3064,0,6128,0,0,0,0,0
465,349.184,690,230,0,230,230,262,460,0,0,0,162,0
466,6.144,5592,1864,0,1864,0,0,3728,0,0,0,0,0
467,10.24,7890,2630,0,2630,2630,15825,5260,0,0,0,9045,0
468,11.264,5538,1846,0,1846,739,73508,3692,0,0,0,23391,0
469,8.192,4722,1574,0,1574,1574,0,3148,0,0,0,0,0
470,9.216,3396,1132,0,1132,210,1997,2264,0,0,0,886,0
471,11.264,6930,2310,0,2310,2310,29146,4620,0,0,0,13001,0
472,10.24,5730,1910,0,1910,1909,34209,3820,0,0,0,15155,0
473,10.24,15726,5242,0,5242,5242,592,10484,0,0,0,303,0
474,14.336,8562,2854,0,2854,878,228803,5708,0,0,0,65286,0
475,7.168,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
476,10.24,11550,3850,0,3850,3850,0,7700,0,0,0,0,0
477,7.168,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
478,11.264,7836,2612,0,2612,2612,13677,5224,0,0,0,7717,0
479,7.168,6144,2048,0,2048,1038,0,4096,0,0,0,0,0
480,7.168,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
481,15.36,11604,3868,0,3868,3868,127169,7736,0,0,0,54373,0
482,11.264,10038,3346,0,3346,3346,20774,6692,0,0,0,9589,0
483,11.264,10224,3408,0,3408,3408,5391,6816,0,0,0,3737,0
484,9.216,9654,3218,0,3218,3218,0,6436,0,0,0,0,0
485,7.168,6144,2048,0,2048,950,0,4096,0,0,0,0,0
